Breed,Age,Color,Sex,Class
,Older than 1 year,MALE,BRN TABBY,Euthanized
,,UNKNOWN,BLACK,Euthanized
,Older than 1 year,MALE,BLACK,Home
RAGDOLL - MIX,Youth - Younger than 1 year,FEMALE,LYNX PT,Other
,,MALE,BLACK,Other
,,UNKNOWN,GRAY,Euthanized
,Older than 1 year,MALE,GRAY TABBY,Home
GERM SHEPHERD - AKITA,,MALE,BROWN,Other
BEAGLE - LABRADOR RETR,Older than 1 year,FEMALE,TAN,Home
,,UNKNOWN,BLACK,Euthanized
,Older than 1 year,MALE,BLACK,Other
CHOW CHOW - MIX,Infant - Younger than 6 months,FEMALE,TAN,Other
,,UNKNOWN,CALICO,Euthanized
PIT BULL - MIX,Older than 1 year,FEMALE,TAN,Euthanized
PIT BULL - MIX,Older than 7 years,FEMALE,BROWN,Home
,Youth - Younger than 1 year,MALE,BLACK,Home
,Older than 7 years,FEMALE,BLACK,Euthanized
,,MALE,BUFF,Euthanized
,Older than 1 year,MALE,BLACK,Home
,,FEMALE,BLACK,Euthanized
,,UNKNOWN,GRAY TABBY,Euthanized
GREAT DANE - LABRADOR RETR,,MALE,BLACK,Other
,Older than 1 year,MALE,BLACK,Euthanized
PIT BULL - MIX,Older than 1 year,MALE,BR BRINDLE,Euthanized
POODLE MIN - MIX,,MALE,BLACK,Other
,,MALE,BROWN,Home
,Older than 1 year,MALE,BLACK,Euthanized
GERM SHEPHERD - DOBERMAN PINSCH,,FEMALE,BROWN,Other
POODLE MIN - MIX,Older than 1 year,MALE,WHITE,Other
,Older than 1 year,FEMALE,BLACK,Other
,,FEMALE,BLACK,Euthanized
,Older than 1 year,FEMALE,BLACK,Other
,,UNKNOWN,BRN TABBY,Euthanized
,Older than 1 year,UNKNOWN,ORG TIGER,Other
,Infant - Younger than 6 months,FEMALE,ORG TABBY,Euthanized
,Infant - Younger than 6 months,FEMALE,GRAY,Euthanized
,,MALE,BLACK,Euthanized
,,MALE,BROWN,Home
,,FEMALE,YELLOW,Euthanized
,Infant - Younger than 6 months,FEMALE,GRAY TABBY,Euthanized
,,UNKNOWN,GRAY,Euthanized
,Older than 1 year,FEMALE,BLUE,Home
,,MALE,ORG TABBY,Euthanized
CHIHUAHUA SH - MIX,,FEMALE,BROWN,Home
,Youth - Younger than 1 year,MALE,WHITE,Home
,Infant - Younger than 6 months,UNKNOWN,BUFF,Euthanized
,Older than 1 year,MALE,ORG TABBY,Euthanized
MIN PINSCHER - DACHSHUND,Older than 1 year,FEMALE,BLACK,Home
,,FEMALE,BL BRINDLE,Euthanized
,Older than 1 year,FEMALE,BRN TABBY,Euthanized
,Older than 7 years,FEMALE,BROWN,Euthanized
ROTTWEILER - GERM SHEPHERD,Older than 7 years,FEMALE,TRICOLOR,Home
,Infant - Younger than 6 months,UNKNOWN,BLACK,Other
,,MALE,BRN TABBY,Euthanized
,,FEMALE,GRAY,Euthanized
,,FEMALE,BLACK,Euthanized
ENG COONHOUND - FRENCH BULLDOG,Infant - Younger than 6 months,MALE,FAWN,Home
GERM SHEPHERD - MIX,Infant - Younger than 6 months,FEMALE,BLACK,Home
,,MALE,ORANGE,Other
BASENJI - MIX,,FEMALE,FAWN,Euthanized
,Youth - Younger than 1 year,MALE,BL BRINDLE,Home
,,MALE,BROWN,Euthanized
,Infant - Younger than 6 months,MALE,SLVR TABBY,Euthanized
,,MALE,BLACK,Euthanized
,Older than 7 years,FEMALE,BLACK,Euthanized
,Youth - Younger than 1 year,FEMALE,CALICO,Other
DOMESTIC SH - BENGAL,Infant - Younger than 6 months,MALE,BRN TABBY,Other
,,FEMALE,GRAY TABBY,Other
,Youth - Younger than 1 year,MALE,GRAY,Home
,Infant - Younger than 6 months,FEMALE,BRN TABBY,Other
,Infant - Younger than 6 months,FEMALE,GRAY,Other
,,MALE,GRAY,Euthanized
,Older than 1 year,MALE,ORANGE,Home
,Infant - Younger than 6 months,FEMALE,BLK TABBY,Home
,,FEMALE,WHITE,Euthanized
