Breed,Age,Color,Sex,Class
,,UNKNOWN,BLACK
,,UNKNOWN,BLACK
,Older than 1 year,FEMALE,WHITE
,Older than 1 year,MALE,BLACK
,Older than 1 year,FEMALE,BLUE
LABRADOR RETR - MIX,Older than 1 year,FEMALE,YELLOW
,,MALE,GRAY TABBY
CHIHUAHUA SH - BEAGLE,Older than 1 year,MALE,BLACK
,,MALE,WHITE
,,MALE,BLK TABBY
,,FEMALE,CALICO
BEAGLE - MIX,Older than 7 years,MALE,WHITE
,Infant - Younger than 6 months,FEMALE,TAN
,,MALE,WHITE
,Older than 1 year,MALE,GRAY
MIN PINSCHER - DACHSHUND,Infant - Younger than 6 months,FEMALE,BROWN
,Older than 1 year,MALE,BLACK
,Infant - Younger than 6 months,UNKNOWN,BUFF
,Youth - Younger than 1 year,MALE,BLACK
,Older than 1 year,FEMALE,CALICO
,,UNKNOWN,BUFF
PIT BULL - BEAGLE,Infant - Younger than 6 months,MALE,BROWN
,Older than 1 year,FEMALE,BL BRINDLE
,Older than 1 year,MALE,BRN TABBY
,,FEMALE,BLACK
,,UNKNOWN,GRAY
,Infant - Younger than 6 months,FEMALE,BLACK
,,UNKNOWN,BLACK
,Youth - Younger than 1 year,MALE,BLACK
BEAGLE - MIX,Older than 1 year,FEMALE,TRICOLOR
,,FEMALE,CALICO
,Youth - Younger than 1 year,FEMALE,BLACK
BEAGLE - MIX,Older than 7 years,MALE,BROWN
,,MALE,ORANGE
,Infant - Younger than 6 months,FEMALE,BROWN
,Infant - Younger than 6 months,MALE,GRAY TABBY
,,FEMALE,BLACK
,Infant - Younger than 6 months,FEMALE,ORG TABBY
,,UNKNOWN,ORG TABBY
,,MALE,GRAY TABBY
,,FEMALE,BROWN
,Older than 1 year,FEMALE,GRAY TABBY
,,UNKNOWN,BLK TABBY
,,MALE,ORANGE
GERM SHEPHERD - CHOW CHOW,,MALE,BLACK
,,FEMALE,GRAY TABBY
,Older than 1 year,MALE,GRAY
,Infant - Younger than 6 months,FEMALE,BRN TABBY
,Infant - Younger than 6 months,MALE,BLACK
,,FEMALE,GRAY
,Older than 7 years,FEMALE,TAN
BORDER COLLIE - MIX,Infant - Younger than 6 months,FEMALE,BLACK
,,MALE,BLUE
,,MALE,BLACK
,,FEMALE,GRAY
,Older than 7 years,MALE,RED
,,MALE,BUFF
,Older than 1 year,MALE,BROWN
,,FEMALE,BLACK
,Older than 7 years,MALE,BLACK
BEAGLE - MIX,Older than 7 years,FEMALE,BROWN
,Older than 1 year,FEMALE,TORTIE
,Older than 1 year,MALE,BRN TABBY
,,UNKNOWN,BRN TIGER
,Older than 7 years,MALE,BLACK
SHIH TZU - MIX,,MALE,WHITE
,Older than 1 year,FEMALE,SABLE
,Older than 1 year,MALE,ORANGE
,,UNKNOWN,ORANGE
LABRADOR RETR - ROTTWEILER,Youth - Younger than 1 year,FEMALE,BLACK
,Older than 1 year,MALE,BLUE
,,FEMALE,WHITE
,,FEMALE,TRICOLOR
LABRADOR RETR - MIX,Older than 1 year,FEMALE,BROWN
,,UNKNOWN,GRAY
,,MALE,TAN
WELSH CORGI CAR - MIX,Infant - Younger than 6 months,FEMALE,RED
DOMESTIC SH - SIAMESE,Infant - Younger than 6 months,MALE,LILAC PT
BEAGLE - MIX,Older than 1 year,FEMALE,TRICOLOR
BEAGLE - PEKINGESE,,FEMALE,BLACK
,Older than 1 year,FEMALE,WHITE
,,FEMALE,BLACK
,,MALE,GRAY TABBY
,Older than 1 year,MALE,WHITE
CHOW CHOW - MIX,,MALE,BROWN
